Price,Brand,RAM,SSD_Storage,Color,Processor,OS,Rating
"1,08,990",HP,16GB,512.0,Blue,Intel,Windows,4.1
"4,79,990",ASUS,24GB,,Black,AMD,Windows,5.0
"1,09,990",ASUS,8GB,512.0,Black,Intel,Windows,3.6
"1,89,990",ASUS,8GB,,Gray,Intel,Windows,4.6
"65,500",Lenovo,16GB,512.0,Grey,,Windows,2.3
"79,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.2
"65,990",Lenovo,16GB,512.0,Grey,Intel,Windows,4.1
"1,41,990",HP,32GB,1024.0,Silver,Intel,Windows,3.8
"1,25,990",acer,8GB,,Black,Intel,Windows,
"1,40,990",HP,8GB,1024.0,Black,AMD,Windows,3.5
"53,990",ASUS,8GB,,Blue,Intel,Windows,
"67,990",MSI,16GB,,Gray,Intel,Windows,4.2
